Ano;PIB
1960;2532649213
1961;2775687634
1962;3057616169
1963;3255163392
1964;3827439648
1965;441182112
1966;5075309532
1967;5008734862
1968;4504014675
1969;4904136037
1970;5521797687
1971;5991156553
1972;6461428162
1973;7522233843
1974;9228464967
1975;1094161608
1976;1006890862
1977;8992555182
1978;7489924969
1979;9327466182
1980;1033418632
1981;1203706341
1982;1182730928
1983;9191688561
1984;9109674658
1985;8369460873
1986;7535315298
1987;1000532272
1988;7298761993
1989;1040962255
1990;1196586858
1991;1524770536
1992;1566011279
1993;1488032995
1994;1881737355
1995;2194017247
1996;2232075816
1997;2306438527
1998;2163119357
1999;1924486419
2000;1955588006
2001;1941475342
2002;2021240038
2003;2145643889
2004;2417034363
2005;2729499172
2006;3154331349
2007;3606070689
2008;4220616378
2009;4196311627
2010;5082353706
2011;5869323882
2012;6528971775
2013;6756752996
2014;6672877373
2015;6229100674
2016;6204996457
2017;6710507602
2018;6957793411
2019;7027612207
2020;612687454
